actors,country,director,genre,grade,introduce,keywords,language,length,name,up_date 
"克劳黛·考尔白,弗莱德·麦克莫瑞,Ray Milland,C. Aubrey Smith,Luis Alberni",美国,韦斯利·鲁格尔斯,"
                   喜剧         / 爱情        ",6.7,"A stenographer becomes a famed entertainer, courted by an English nobleman and an informal American reporter.","怪诞喜剧,记者,爆米花,歌手","
          英语        ",80分钟,"
        金莲花,The Gilded Lily ",(1935)
"埃莉萨·加尔韦,Nicolás Fregues,Virginia Romay,Duilio Marzio,Lina Bardo",阿根廷,托雷,"
                   犯罪        / 剧情        ",6.8,A woman seeks revenge for the death of her father and plans a murder in which the alibi is her own rape.,,"
          西班牙语        ",70分钟,"
        Días de odio ",(1954)
"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,斯嘉丽·约翰逊",美国,乔斯·韦登,"
                   动作片        / 冒险        / 科幻        ",8,尼克·弗里(Nick Fury)是国际维持和平机构神盾局(S.H.I.E.L.D.)的主任，为了应对危险，尼克·弗里组织了一个“史上最强”联盟。在这个联盟里包括钢铁侠、绿巨人、雷神、美国队长、鹰眼和黑寡妇。当全球安全受到洛基和他的同伴的威胁时，尼克·弗里和他的团队将需要他们所有的力量来拯救世界免于由洛基和他的团队组成的灾难。,"超级英雄,奇迹电影宇宙,外来入侵,s.h.i.e.l.d.,最后的战斗","
          英语        ",173分钟,"
        复仇者联盟,The Avengers ",(2012)
"杉本彩,Ken'ichi Endô,不二子,荒井美惠子,伊藤洋三郎",日本,石井隆,"
                   剧情        ",5.7,"Tooyama, an aging impotent art critic, sends his much-younger wife, Shizuko, to Paris to evaluate the work of Ikegami, an artist he sponsors. She discovers she's curious about sado-masochism, and soon she becomes Ikegami's object of bondage as well as his muse. Encounters with Ikegami lead her into …","缪斯,绳子,束缚,胎记,伟哥","
          日语        ",99分钟,"
        Hana to hebi 2: Pari/Shizuko ",(2005)
"丹尼尔·戴,Martin Stringer,Matthew Braden Stringer,Jacob Stringer,Joseph Mussey",美国,保罗·托马斯,"
                   剧情        ",8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","油,厌世者,听力损失,假先知,含酒精的","
          英语        ",158分钟,"
        血色将至,There Will Be Blood ",(2008)
"詹姆斯·斯图尔特,格蕾丝·凯利,温戴尔·柯瑞,瑟尔玛·瑞特,雷蒙德·布尔",美国,阿尔弗雷德·希区柯克,"
                   悬疑        / 惊悚片        ",8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"狗,杀死一只狗,邻居,轮椅,公寓","
          英语        ",112分钟,"
        Rear Window ",(1954)
"戴夫·帕特尔,沙鲁巴·舒克拉,亚尼·卡普,拉詹德拉纳斯·祖特施,吉尼瓦·塔瓦尔",英国,丹尼·博伊尔,"
                   剧情        / 爱情        ",8,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","木瓜,印度,非专业人员,妓女,有组织犯罪","
          英语        ",120分钟,"
        贫民窟的百万富翁,Slumdog Millionaire ",(2008)
"Rijk de Gooyer,Jennifer Willems,Jon Bluming,Adèle Bloemendaal,西尔维娅·克里斯蒂",荷兰,弗兰斯·威兹,"
                   惊悚片        ",5.4,"Rick, who runs a pinball arcade, lets a room to Penny, a young teacher and karate fan. Penny gets to know Lilly, a singer who has just been hired with her friend Ed to act in a film. But Lilly soon discovers that the movie they are involved in is nothing else but a dirty one. In disgust, she runs aw…","弹珠台,歌手,空手道,制片人,导演","
          荷兰语        ",89分钟,"
        Naakt over de schutting ",(1973)
"莉娜·罗迈,保罗·穆勒,莫妮卡,Roger Darton,Ronald Weiss",瑞士,Jesús Franco,"
                   犯罪        / 剧情        / 恐怖        / 惊悚片        ",4.5,"Women's prison tale, with Lina Romay as Maria who is jailed after killing her father, played by director Jess Franco, who tries to rape her. Lesbian wardens, torture, nudity, sex, insanity and conspiracy round out the formula.","女子监狱,强奸,越狱,非法监禁,剥光衣服","
          法语        ",76分钟,"
        Frauengefängnis ",(1976)
"布拉德·皮特,Tommy Lee Jones,鲁丝·内伽,唐纳德·萨瑟兰,金伯莉·伊丽丝",中国大陆,詹姆斯·格雷,"
                   冒险        / 剧情        / 悬疑        / 科幻        / 惊悚片        ",6.6,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","宇航员,父子关系,外层空间,月亮,失踪的父亲","
          英语        ",123分钟,"
        星际探索,Ad Astra ",(2019)
"伊娃·罗宾斯,艾基塔·威尔森,Ramón Centenero,Sara Mora,Fabián Conde",西班牙,Antonio D'Agostino,"
                   动作片        / 冒险        / 喜剧         ",5.1,"Eva is a woman, Eva is a man. Eva is a hermaphrodite that a Russian scientist monitors to study the sexual habits. But the body of Eve also interesting to a gang of criminals, who kidnapped him/her.","三人行,女人斗男人,在地上做爱","
          意大利语        ",75分钟,"
        伊娃的男人,Eva man (Due sessi in uno) ",(1980)
"罗素·克劳,艾德·哈里斯,詹妮弗·康纳利,克里斯托弗·普卢默,保罗·贝坦尼",美国,朗·霍华德,"
                   传记        / 剧情        ",8.2,After ,"数学家,精神病,博弈论,精神分裂症,诺贝尔奖","
          英语        ",135分钟,"
        美丽心灵,A Beautiful Mind ",(2002)
"黑木瞳,片冈鹤太郎,三木纪平,椎名桔平,根岸季衣",日本,大林宣彦,"
                   传记        / 剧情        ",6.7,,"谋杀,F级,1936年,1919年","
          日语        ",132分钟,"
        感官新世界,Sada: Gesaku · Abe Sada no shôgai ",(1998)
"托尼·柯蒂斯,卡洛尔·琳蕾,Jennifer Chase,查克·康诺斯,Lupita Ferrer",美国,詹姆斯·波拉考夫,"
                   剧情        ",5.2,Millionaire gets involved in a real-estate scam.,"一个字标题,独立电影","
          英语        ",91分钟,"
        Balboa ",(1983)
"罗温·艾金森,马修·布罗德里克,Niketa Calame-Harris,吉姆·卡明斯,乌比·戈德堡",美国,罗杰·阿勒斯,"
                   冒险        / 动画        / 剧情        / 家庭        / 歌舞剧        ",8.5,一个狮子幼崽王储被他奸诈的叔叔欺骗，以为是他造成了父亲的死亡，绝望地逃亡，成年后才知道自己的身份和责任,"非洲,国王,狮子,不必要的内疚,刀疤","
          英语        ",73分钟,"
        狮子王,The Lion King ",(1994)
"Christian Bale,迈克尔·凯恩,连姆·尼森,凯蒂·霍尔姆斯,加里·奥德曼",美国,克里斯托弗·诺兰,"
                   动作片        / 冒险        ",8.2,在布鲁斯·韦恩(BruceWayne)小时候亲眼目睹父母被杀时，继承家产变身亿万富翁的布鲁斯·韦恩因打击移居亚洲。在那里他亲自感受犯罪，锒铛入狱。在那里他认识了亨利·杜卡德(Henri Ducard)，并接受了杜卡德对他的训练。训练后的布鲁斯变得更加强大，突出的能力让他被影忍者盟看上。但布鲁斯意外发现了影忍者盟对他的故乡高谭市有着邪恶的计划，为了阻止了这一计划的进一步发展，布鲁斯回到了高谭市，采用蝙蝠的形象，打击罪犯。,"社会衰败,DC漫画,超级英雄,嗯,欺骗","
          英语        ",140分钟,"
        蝙蝠侠：侠影之谜,Batman Begins ",(2005)
"张震,杨静怡,张国柱,金燕玲,王琄",中国台湾,杨德昌,"
                   犯罪        / 剧情        / 爱情        ",8.4,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.","1960s,1959年,1960年,少年男孩,少女","
          普通话        ",185分钟,"
        牯岭街少年杀人事件,Gu ling jie shao nian sha ren shi jian ",(1991)
"奥田瑛二,北村一辉,吉本多香美,荻野目庆子,Takashi Saitô",日本,望月六郎,"
                   剧情        ",6.2,"Akira's wife walks out on him, leaving him to confide in his gangster brother-in-law. Using only a cryptic note as a clue the two brothers go on a road trip to find his wife. After a series of violent encounters with strangers, Akira meets a prostitute. The pair start a relationship. After Akira fin…","歹徒,妓女,月亮,排尿,冲孔","
          日语        ",114分钟,"
        皆月,Minazuki ",(1999)
"成龙,约翰尼·诺克斯维尔,范冰冰,曾志伟,Eve Torres",中国大陆,雷尼·哈林,"
                   动作片        / 冒险        / 犯罪        / 喜剧         / 惊悚片        ",5.7,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,"侦探,赌徒,美国人,中国人,徒步旅行","
          普通话        ",107分钟,"
        绝地逃亡,Jue di tao wang ",(2016)
"盖尔·加朵,克里斯·派恩,康妮·尼尔森,罗宾·怀特,丹尼·赫斯顿",美国,派蒂·杰金斯,"
                   动作片        / 冒险        / 奇幻片        / 科幻        / 战争        ",7.4,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","反战,飞机,缝连衣裙,长毛女","
          英语        ",141分钟,"
        神奇女侠,Wonder Woman ",(2017)
"哈里森·福特,凯伦·阿兰,Paul Freeman,罗纳德·莱西,约翰·瑞斯",美国,史蒂文·斯皮尔伯格,"
                   动作片        / 冒险        ",8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before ","纳粹,约柜,考古学家,印第安纳琼斯,埃及","
          英语        ",115分钟,"
        夺宝奇兵,Raiders of the Lost Ark ",(1981)
"卡梅隆·迪亚兹,杰森·席格尔,罗伯·考德瑞,艾丽·坎伯尔,罗伯·劳",美国,杰克·卡斯丹,"
                   喜剧         / 爱情        ",5.1,"A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.",脱衣服,"
          英语        ",94分钟,"
        性爱录像带,Sex Tape ",(2014)
"马克·沃尔伯格,劳伦·科汉,伊科·乌艾斯,约翰·马尔科维奇,龙达·鲁西",中国大陆,彼得·博格,"
                   动作片        / 惊悚片        ",6.1,"A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.","cesium,手榴弹,武术,混合武术,肉搏战","
          菲律宾语        ",94分钟,"
        Mile 22 ",(2018)
"莉娜·罗迈,Antonio Mayans,Eva León,Analía Ivars,胡安・索勒",西班牙,莉娜·罗迈,"
                   喜剧         ",5.3,"Three crazy couples in Benidorm, Spain making mischief.","公共裸露,海滩,G字符串,通体比基尼","
          西班牙语        ",84分钟,"
        Las chicas del tanga ",(1987)
"Paolo Bonacelli,乔治·卡塔尔迪,翁贝托·保罗,阿尔多·瓦莱蒂,卡特丽娜·波拿托",意大利,皮埃尔·保罗,"
                   剧情        / 恐怖        / 战争        ",5.9,"In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to one hundred and twenty days of physical, mental and sexual torture.","禁片,偷窥狂","
          意大利语        ",117分钟,"
        Salò o le 120 giornate di Sodoma ",(1975)
"Woo-seong Kam,严正化,朴元尚,So-Jeong Kang,Steven Lawson",韩国,庾河,"
                   剧情        / 爱情        ",7,Jun-young (Kam Woo-seong) is a man in his early thirties who has seen his friends and younger brother get married but has yet to open himself to a serious relationship. Rather he is happy floating through life with little direction or ambition. Yeon-hee (Eom Jeong-hwa) is girl approaching thirty who…,"盲目约会,色情文学,师生关系,婚外情","
          韩语        ",103分钟,"
        Gyeolhoneun michinjishida ",(2002)
"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇,娜塔莎·麦克艾霍恩,霍兰德·泰勒",美国,彼得·威尔,"
                   喜剧         / 剧情        / 科幻        ",8.1,一个保险推销员发现他的整个生活实际上是一个真人秀节目。,"隐藏摄像机,模拟现实,虚构真人秀,受控环境,创造者创造关系","
          英语        ",103分钟,"
        楚门的世界,The Truman Show ",(1998)
"艾伦·伯斯汀,杰瑞德·莱托,詹妮弗·康纳利,马龙·韦恩斯,Christopher McDonald",美国,达伦·阿伦诺夫斯基,"
                   剧情        ",8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"毒瘾,海洛因,上瘾","
          英语        ",102分钟,"
        梦之安魂曲,Requiem for a Dream ",(2000)
"長坂,速水舞,水木薫,儿玉谦次,Yûichi Minato",日本,Masayuki Asao,"
                   犯罪        / 剧情        ",5.9,"A man's gambling debts pile higher and higher and he is desperate enough to have to do something. Well, he can sell off the two women closest to himself of course. The yakuza are buyers of course. The sold mother and daughter are now sexual slaves and while the mother attempts to bargain for her dau…","软核,研磨片,欲望,高利贷","
          日语        ",74分钟,"
        Hana to hebi: Kyûkyoku nawa chôkyô ",(1987)
"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,马丁·辛,纳塔莉·贝伊",美国,史蒂文·斯皮尔伯格,"
                   传记        / 犯罪        / 剧情        ",8.1,A seasoned FBI agent pursues ,"诈骗艺术家,与时间赛跑,在跑,母子关系,提到纽约洋基队","
          英语        ",141分钟,"
        猫鼠游戏,Catch Me If You Can ",(2002)
"甄楚倩,郑浩南,林伟健,杨梵,杨雄",中国香港,曹建南,"
                   冒险        / 剧情        / 恐怖        ",5.1,"Two bandits and their female partners accost a mysterious and talented traveler who seems destined for great things, but who has a secret taste for torture.","朋友的背叛,马刀,图形暴力,画笔","
          粤语        ",93分钟,"
        Man qing shi da ku xing zhi Chi luo ling chi ",(1998)
"Michele Hermet,Jérôme Foulon,Leonardo da Costa,莉娜·罗迈,Nadine Pascal",法国,Jesús Franco,"
                   喜剧         ",4.7,"Three students Juanita, Jean and Hans bored with their life in Paris go to Brazil in search of sexual adventures.","里约热内卢,友谊,嫉妒,妓女","
          法语        ",85分钟,"
        Les filles de Copacabana ",(1981)
"James Robinson,辛·劳洛,Sandy Nelson,詹姆斯·科兹莫,辛·麦金利",美国,梅尔·吉布森,"
                   传记        / 剧情        / 历史        / 战争        ",8.3,当他的秘密新娘因袭击一名试图强奸她的英国士兵而被处决时，威廉华莱士开始反抗英国国王爱德华一世。,"苏格兰,反抗,英国,传说,理想主义","
          英语        ",225分钟,"
        勇敢的心,Braveheart ",(1995)
"托妮·科莱特,Gotaro Tsunashima,Matthew Dyktynski,Lynette Curran,Yumiko Tanaka",澳大利亚,Sue Brooks,"
                   剧情        / 爱情        ",6.7,"Against the background of an Australian desert, Sandy, a geologist, and Hiromitsu, a Japanese businessman, play out a story of human inconsequence in the face of the blistering universe. The end of the journey leaves no one capable of going back to where they started from.","日本的,澳大利亚,滥交的女人,床上做爱","
          英语        ",100分钟,"
        日本故事,Japanese Story ",(2003)
"本·贝尔特,艾丽莎·奈特,杰夫·格尔林,佛莱德·威拉特,MacInTalk",美国,安德鲁·斯坦顿,"
                   冒险        / 动画        / 家庭        / 科幻        ",8.4,在遥远的未来，一个小型垃圾收集机器人无意中开始了一次太空之旅，这将最终决定人类的命运。,"机器人,肥胖,回收机器人,漂浮在太空中,CGI动画","
          英语        ",98分钟,"
        机器人总动员,WALL·E ",(2008)
"杰西卡·阿尔芭,戴文青木,阿丽克西斯·布莱德尔,鲍沃斯·布斯,Cara D. Briggs",美国,弗兰克·米勒,"
                   犯罪        / 惊悚片        ",8,"A movie that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.","新黑,腐败,虐待狂精神病患者","
          英语        ",147分钟,"
        罪恶之城,Sin City ",(2005)
"拉胡尔·博斯,高久千草,拉伊玛·森,穆苏米·查特吉,帕兰·班纳吉",印度,阿帕纳·珊,"
                   剧情        / 爱情        ",7.6,Pen pals decide to get married and carry-on a long-term relationship.,F级,"
          英语        ",105分钟,"
        The Japanese Wife ",(2010)
"莱昂纳多·迪卡普里奥,布拉德·皮特,玛格特·罗比,埃米尔·赫斯基,玛格丽特·库里",美国,昆汀·塔伦蒂诺,"
                   喜剧         / 剧情        ",7.7,影片根据发生在美国好莱坞的真实事件改编。瑞克是著名演员，克里夫是他的专替身，两人合作多年。由于新文化兴起，瑞克几乎没有戏可接，瑞克没有放弃终于找到了一份工作，紧接着去意大利拍戏回来。刚回到美国的瑞克，曼森家族也正蓄意要杀害他的邻居波兰斯基的妻子，阴差阳错曼森家族临时起义来到瑞克家里，不料匪徒被身体强壮的瑞克和克里夫轻松干掉。结尾虽然和现实有所出入，但这也是导演的一番用心在其中。,"white miniskirt,炫耀的女孩,一个女孩腿上的照相机镜头,可见的腹部,minidress with boots","
          英语        ",161分钟,"
        好莱坞往事,Once Upon a Time... in Hollywood ",(2019)
"马尔科·里卡,Lilian Taublib,Maria Manoella,Felipe Ehrenberg,Cláudio Assis",巴西,贝托·布朗特,"
                   剧情        ",6.1,"Antônio Martins, respected theatrical critic, is a very rational man. But a chance meeting with young Inês, a nude painting model, is going to rock him. Inês keeps a relationship with painter José Torres Campana, an older man with a deep influence over her. Antônio gets jealous, and the three become…","画家,评论家,易装癖,截肢者","
          葡萄牙语        ",87分钟,"
        Crime Delicado ",(2005)
"Harlee McBride,Ed Quinlan,亚当·威斯特,Brett Baxter Clark,西碧尔·丹宁",美国,Alan Roberts,"
                   剧情        ",3.7,"Cynthia, new lady of Chatterly, feels neglected by her husband. During his absences she tries to amuse herself with gardener Thomas, but always gets interrupted by new visitors. While she's busy her staff amuses itself. One of her guests is a professor who wants to do research in her land-seat. He's…","起重服装,马","
          英语        ",86分钟,"
        查泰莱夫人之风华绝代,Young Lady Chatterley II ",(1985)
"陈宝莲,曹查理,江欣燕,大友梨奈,方源盛",中国香港,方源盛,"
                   奇幻片        / 惊悚片        ",4.1,陈查理是一家内衣和文胸工厂的老板。他爱上了他的设计师波林，但他的师妹波林却对他不感兴趣。,,"
          粤语        ",81分钟,"
        Yim gong gau wan ",(1999)
"莫德·亚当斯,Dawn Dunlap,James Mitchell,Maureen Kerwin,Pierre Londiche",法国,David Hamilton,"
                   剧情        / 爱情        ",5.9,"Sculptor Paul meets a former great love again after a long time -- but is much more impressed by her 15-year-old daughter, Laura, who looks like her mother when Paul was in love with her. Laura likes him very much too, but her jealous mother prevents any further contact. She allows him to make a scu…","成年,色情文学","
          法语        ",95分钟,"
        劳拉,Laura, les ombres de l'été ",(1979)
"伊丽莎白·泰勒,理查德·伯顿,雷克斯·哈里森,帕梅拉·布朗,乔治·科尔",瑞士,约瑟夫,"
                   传记        / 剧情        / 历史        / 爱情        ",7,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,"埃及,女王,罗马帝国,史诗,佩梅","
          英语        ",234分钟,"
        Cleopatra ",(1963)
江香生,中国香港,胡家勤,"
                   成人        ",5.3,Jealousy and the need to possess all destroys the life of an extraordinary beauty.,,"
          粤语        ",93分钟,"
        Ye tiao qing ",(1993)
"兰迪·韦斯特,Ron Hudd,康蒂·芭柏,T.J. Testatuski,萨曼莎·福克斯",美国,Chuck Vincent,"
                   喜剧         / 成人        ",6.4,,"裸胸男,晒线,吃葡萄,面部","
          英语        ",70分钟,"
        那个幸运的呆子,That Lucky Stiff ",(1980)
"安东尼·斯特芬,艾基塔·威尔森,Cristina Lay,Stelio Candelli,卢西亚诺·罗西",西班牙,爱德华多·穆纳拉加,"
                   动作片        / 冒险        / 剧情        ",4.4,Girls kept prisoner under appalling conditions to dig emeralds for an evil tyrant are rescued by revolutionaries disguised as soldiers.,"折磨,鞭打,死亡,逃跑,丛林","
          意大利语        ",94分钟,"
        残暴集中营,Orinoco: Prigioniere del sesso ",(1980)
"拉尔夫·费因斯,F. Murray Abraham,马修·阿马立克,艾德里安·布洛迪,威廉·达福",德国,韦斯·安德森,"
                   冒险        / 犯罪        / 喜剧         ",8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","酒店,lobby boy,越狱,第一人称叙事,绘画","
          英语        ",99分钟,"
        布达佩斯大饭店,The Grand Budapest Hotel ",(2014)
C.S. Leigh,德国,C.S. Leigh,"
                   剧情        ",7.7,Five Hours. Six Countries. Seven Chapters. Eight Conflicts. Nine Women.,,"
          英语        ",305分钟,"
        American Widow ",(2009)
"汤姆·斯凯里特,西格妮·韦弗,维罗尼卡·卡维特,哈利·戴恩,约翰·赫特",英国,雷德利·斯科特,"
                   恐怖        / 科幻        ",8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","外星人,太空船,外层空间,生物,女主角","
          英语        ",116分钟,"
        异形,Alien ",(1979)
"布鲁斯·威利斯,海利·乔,托妮·科莱特,奥莉维亚·威廉姆斯,特拉沃·摩根",美国,M. Night Shyamalan,"
                   剧情        / 悬疑        / 惊悚片        ",8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,"能看见死人,情节扭曲,意外的结局,欺凌,鬼","
          英语        ",107分钟,"
        第六感,The Sixth Sense ",(1999)
"成贤娥,赵东赫,Ye-ryeong Kim,Chang-Yong Lee,池大汉",韩国,金泰恩,"
                   剧情        / 爱情        ",5.9, 她和恋人已经在一起七年了，生活平淡如水，毫无刺激可言。下个月，他们即将迈入婚礼的殿堂。 有一天，她遇到了一个英俊的陌生人，陌生人提议她与他共度一天。陌生人还告诉她，这也许是一个错误的决定，但是第二天她将体验到一种前所未有的兴奋和亲密感……,"在做爱时接吻,强奸,楔形文字","
          韩语        ",98分钟,"
        爱人,Aein ",(2005)
"Gaëtan Vettier,曼努埃尔,Amanda Dawson,Gérard Bertin,伽拉·贝松",法国,安东尼·希克林,"
                   剧情        ",4.5,"A young gay boy, from his birth to his teenage years, in which he experiments his sexuality and his own boundaries, to the day he finally meets his father.","大天使加百利,母子关系,参考圣母玛利亚,提到耶稣基督,LGBT","
          法语        ",72分钟,"
        Little Gay Boy ",(2013)
"马雷克·孔德拉特,博古斯瓦夫·林达,Wiktor Zborowski,Katarzyna Figura,Piotr Gasowski",波兰,雅努什·马耶夫斯基,"
                   动作片        / 喜剧         / 战争        ",4.8,During World War II a group of safe-crackers sets off on a mission to steal gold from a Nazi bank.,"1940s,第二次世界大战","
          波兰语        ",147分钟,"
        Zloto dezerterów ",(1998)
"阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,罗伯特·德尼罗,约翰·凯泽尔",美国,弗朗西斯·福特·科波拉,"
                   犯罪        / 剧情        ",9,在20世纪20年代的纽约市，维托-考利昂的早期生活和职业生涯被描绘，而他的儿子迈克尔则扩张并收紧了对家庭犯罪集团的控制。,"复仇,腐败的政客,血淋淋的孩子,黑手党,1950s","
          英语        ",220分钟,"
        教父2,The Godfather: Part II ",(1974)
迈克·马考斯基,美国,科瑞·芬莱,"
                   喜剧         / 剧情        ",7.3,改编自真实事件，休·杰克曼扮演美国纽约州长岛公立学校总监弗兰克·塔索纳，非法挪用大量公款用来个人消费，涉及金额超过1120万美元。,,"
          英语        ",103分钟,"
        不良教育,Bad Education ",(2019)
"乌玛·瑟曼,刘玉玲,薇薇卡·福克斯,达丽尔·汉纳,大卫·卡拉丁",美国,昆汀·塔伦蒂诺,"
                   动作片        / 犯罪        / 惊悚片        ",8.1,在从四年的昏迷中苏醒后，一名前刺客向背叛她的刺客队复仇。,"复仇,新娘,剑,女主角,武术","
          英语        ",112分钟,"
        杀死比尔,Kill Bill: Vol. 1 ",(2003)
"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪,Rory Kinnear,艾伦·里奇",英国,莫滕·泰杜姆,"
                   传记        / 剧情        / 惊悚片        / 战争        ",8,"During World War II, the English mathematical genius ","第二次世界大战,密码学,谜码,数学家,电脑","
          英语        ",114分钟,"
        模仿游戏,The Imitation Game ",(2014)
"阿兰·霍华德,Noel Appleby,西恩·奥斯汀,萨拉·贝克,肖恩·宾",新西兰,彼得·杰克逊,"
                   冒险        / 剧情        / 奇幻片        ",8.8,比尔博·巴金斯从怪物咕噜手里得到了一枚魔戒，这枚魔戒拥有奴役世界的邪恶力量。随着时间流逝，比尔博日益感受到魔戒对心神的影响。万般考量之下，将魔戒转交给了侄子弗罗多。甘道夫·格雷时比尔博的好朋友，他也知晓魔戒的威力以及对心性的影响。甘道夫害怕魔戒的邪恶力量会引起灾难，成功劝说佛罗多将魔戒转交给精灵一族保管。然而历经千辛万苦到达精灵王国，精灵一族却并不愿意代为保管魔戒。经过商议他们决定将魔戒丢入末日山脉的烈焰之中，摧毁魔戒。魔戒由索伦打造，如今他也已经知晓魔戒就在哈比一族手中，为了夺回魔戒，索伦也正在集结部队积攒力量。佛罗多一行能够成功将魔戒摧毁吗？,"戒指,探索,霍比特人,精灵,兽人","
          英语        ",171分钟,"
        指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring ",(2001)
"石冈正人,熊泽尚人,黑泽久子",日本,石冈正人,"
                   剧情        ",6.5,"(Japanese with English subtitles) In this excursion into Tokyo's dark side, a sexually repressed woman finds liberation by turning tricks at night; a sex worker is taken by surprise when her ex drops by; and a sex blogger finds strange kinship with a loner.",,"
          日语        ",127分钟,"
        黑色东京,Tokyo Noir ",(2004)
"金·凯瑞,凯特·温丝莱特,Gerry Robert Byrne,伊利亚·伍德,汤姆斯·杰",美国,米歇尔·贡德里,"
                   剧情        / 爱情        / 科幻        ",8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","记忆,孤独,逆行叙事,闪回,情人节","
          英语        ",108分钟,"
        暖暖内含光,Eternal Sunshine of the Spotless Mind ",(2004)
"Nicola Warren,弗兰切斯卡·德莱拉,Andy J. Forest,Luigi Laezza,伊莎贝拉·毕耶缀妮",意大利,丁度·巴拉斯,"
                   剧情        / 爱情        ",5,"After the renewed flings with their former lovers prove to be disastrously unlike the romantic memories, an unfaithful couple returns to each other.","色情文学,窥阴癖","
          英语        ",98分钟,"
        爱与激情,Capriccio ",(1987)
"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞,斯蒂芬·弗雷,约翰·赫特",美国,詹姆斯·麦克特格,"
                   动作片        / 剧情        / 科幻        / 惊悚片        ",8.2,在未来的英国暴政中，一个名为“V”的神秘的自由战士，在一个年轻女人的帮助下密谋推翻它。,"法西斯,自由,革命,反乌托邦,上裙","
          英语        ",132分钟,"
        V字仇杀队,V for Vendetta ",(2006)
"玛丽娜·墨蔻莉,艾伦·伯斯汀,Andréas Voutsinas,Despo Diamantidou,Dimitris Papamichael",希腊,朱尔斯·达辛,"
                   剧情        ",6.7,"Melina Mercouri plays an actress who is attempting a comeback with a staging of the Greek tragedy ""Medea"" (about a woman who kills her children) in her native Greece. As a publicity stunt, she arranges a meeting with an American woman (Ellen Burstyn) who is serving a prison term for killing her own …","女子监狱,希腊悲剧,希腊,宗教坚果,合唱","
          英语        ",109分钟,"
        热情之梦,Kravgi gynaikon ",(1978)
"莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,马克斯·冯,米歇尔·威廉姆斯",美国,马丁·斯科塞斯,"
                   悬疑        / 惊悚片        ",8.1,1954年，一名美国警长调查了一名从医院逃出来的杀人凶手。,"意外的结局,精神病院,自欺,普赛克,新黑","
          英语        ",138分钟,"
        禁闭岛,Shutter Island ",(2010)
"詹森·舒瓦兹曼,奥林匹娅·杜卡基斯,滕德·艾德比佩,Eleanore Pienta,斯蒂芬·鲁特",美国,Bob Byington,"
                   喜剧         ",5.6,"Sharing a small apartment with his sleepy French bulldog, an unmotivated thirty-something slacker lands a job at a Quick Lube, to be close to the shop's beautiful manager. Has he found a new purpose in life? Is there still hope?","失败者,偷窃,狗,自我困扰,独立电影","
          英语        ",76分钟,"
        七个中国兄弟,7 Chinese Brothers ",(2015)
"伊万娜·巴克罗,塞尔希·洛佩斯,玛丽维尔·贝尔杜,道格·琼斯,阿里亚德娜·希尔",墨西哥,吉尔莫·德尔,"
                   剧情        / 奇幻片        / 战争        ",8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","仙女,隐藏,迷宫,西班牙,迷宫","
          西班牙语        ",112分钟,"
        潘神的迷宫,El laberinto del fauno ",(2006)
